Bands,Rows,TP,FP,FN,Precision,Recall,F1
35,20,192,85,0,0.693141,1.000000,0.818763
35,25,184,30,8,0.859813,0.958333,0.906404
35,30,174,14,18,0.925532,0.906250,0.915789
35,35,162,2,30,0.987805,0.843750,0.910112
35,40,134,4,58,0.971014,0.697917,0.812121
35,45,120,0,72,1.000000,0.625000,0.769231
35,50,98,0,94,1.000000,0.510417,0.675862
35,55,86,0,106,1.000000,0.447917,0.618705
35,60,72,0,120,1.000000,0.375000,0.545455
35,65,64,0,128,1.000000,0.333333,0.500000
35,70,70,0,122,1.000000,0.364583,0.534351
40,20,192,93,0,0.673684,1.000000,0.805031
40,25,186,36,6,0.837838,0.968750,0.898551
40,30,174,16,18,0.915789,0.906250,0.910995
40,35,166,2,26,0.988095,0.864583,0.922222
40,40,140,4,52,0.972222,0.729167,0.833333
40,45,124,0,68,1.000000,0.645833,0.784810
40,50,98,0,94,1.000000,0.510417,0.675862
40,55,90,0,102,1.000000,0.468750,0.638298
40,60,74,0,118,1.000000,0.385417,0.556391
40,65,64,0,128,1.000000,0.333333,0.500000
40,70,72,0,120,1.000000,0.375000,0.545455
45,20,192,98,0,0.662069,1.000000,0.796680
45,25,188,43,4,0.813853,0.979167,0.888889
45,30,176,18,16,0.907216,0.916667,0.911917
45,35,172,4,20,0.977273,0.895833,0.934783
45,40,148,4,44,0.973684,0.770833,0.860465
45,45,128,0,64,1.000000,0.666667,0.800000
45,50,104,0,88,1.000000,0.541667,0.702703
45,55,92,0,100,1.000000,0.479167,0.647887
45,60,74,0,118,1.000000,0.385417,0.556391
45,65,66,0,126,1.000000,0.343750,0.511628
45,70,72,0,120,1.000000,0.375000,0.545455
50,20,192,108,0,0.640000,1.000000,0.780488
50,25,188,49,4,0.793249,0.979167,0.876457
50,30,182,20,10,0.900990,0.947917,0.923858
50,35,178,4,14,0.978022,0.927083,0.951872
50,40,150,4,42,0.974026,0.781250,0.867052
50,45,134,0,58,1.000000,0.697917,0.822086
50,50,110,0,82,1.000000,0.572917,0.728477
50,55,92,0,100,1.000000,0.479167,0.647887
50,60,74,0,118,1.000000,0.385417,0.556391
50,65,66,0,126,1.000000,0.343750,0.511628
50,70,72,0,120,1.000000,0.375000,0.545455
55,20,192,112,0,0.631579,1.000000,0.774194
55,25,188,59,4,0.761134,0.979167,0.856492
55,30,184,22,8,0.893204,0.958333,0.924623
55,35,180,6,12,0.967742,0.937500,0.952381
55,40,154,4,38,0.974684,0.802083,0.880000
55,45,138,2,54,0.985714,0.718750,0.831325
55,50,110,0,82,1.000000,0.572917,0.728477
55,55,92,0,100,1.000000,0.479167,0.647887
55,60,76,0,116,1.000000,0.395833,0.567164
55,65,66,0,126,1.000000,0.343750,0.511628
55,70,74,0,118,1.000000,0.385417,0.556391
60,20,192,118,0,0.619355,1.000000,0.764940
60,25,188,61,4,0.755020,0.979167,0.852608
60,30,186,22,6,0.894231,0.968750,0.930000
60,35,180,6,12,0.967742,0.937500,0.952381
60,40,158,4,34,0.975309,0.822917,0.892655
60,45,140,2,52,0.985915,0.729167,0.838323
60,50,110,0,82,1.000000,0.572917,0.728477
60,55,92,0,100,1.000000,0.479167,0.647887
60,60,76,0,116,1.000000,0.395833,0.567164
60,65,68,0,124,1.000000,0.354167,0.523077
60,70,74,0,118,1.000000,0.385417,0.556391
65,20,192,128,0,0.600000,1.000000,0.750000
65,25,188,65,4,0.743083,0.979167,0.844944
65,30,186,26,6,0.877358,0.968750,0.920792
65,35,182,6,10,0.968085,0.947917,0.957895
65,40,160,6,32,0.963855,0.833333,0.893855
65,45,142,2,50,0.986111,0.739583,0.845238
65,50,116,0,76,1.000000,0.604167,0.753247
65,55,98,0,94,1.000000,0.510417,0.675862
65,60,78,0,114,1.000000,0.406250,0.577778
65,65,68,0,124,1.000000,0.354167,0.523077
65,70,74,0,118,1.000000,0.385417,0.556391
70,20,192,133,0,0.590769,1.000000,0.742747
70,25,190,67,2,0.739300,0.989583,0.846325
70,30,188,30,4,0.862385,0.979167,0.917073
70,35,184,8,8,0.958333,0.958333,0.958333
70,40,162,6,30,0.964286,0.843750,0.900000
70,45,142,2,50,0.986111,0.739583,0.845238
70,55,100,0,92,1.000000,0.520833,0.684932
70,60,78,0,114,1.000000,0.406250,0.577778
75,20,192,138,0,0.581818,1.000000,0.735632
75,25,192,70,0,0.732824,1.000000,0.845815
70,65,68,0,124,1.000000,0.354167,0.523077
75,30,188,32,4,0.854545,0.979167,0.912621
70,70,74,0,118,1.000000,0.385417,0.556391
75,35,186,10,6,0.948980,0.968750,0.958763
75,40,162,8,30,0.952941,0.843750,0.895028
75,45,144,2,48,0.986301,0.750000,0.852071
80,20,192,145,0,0.569733,1.000000,0.725898
80,25,192,74,0,0.721805,1.000000,0.838428
75,50,118,2,74,0.983333,0.614583,0.756410
75,55,102,0,90,1.000000,0.531250,0.693878
80,30,190,32,2,0.855856,0.989583,0.917874
80,35,188,10,4,0.949495,0.979167,0.964103
80,40,164,10,28,0.942529,0.854167,0.896175
75,60,78,0,114,1.000000,0.406250,0.577778
80,45,146,2,46,0.986486,0.760417,0.858824
75,65,68,0,124,1.000000,0.354167,0.523077
85,20,192,149,0,0.563050,1.000000,0.720450
75,70,74,0,118,1.000000,0.385417,0.556391
85,25,192,76,0,0.716418,1.000000,0.834783
80,50,120,2,72,0.983607,0.625000,0.764331
80,55,104,0,88,1.000000,0.541667,0.702703
85,30,190,37,2,0.837004,0.989583,0.906921
85,35,188,12,4,0.940000,0.979167,0.959184
80,60,78,0,114,1.000000,0.406250,0.577778
85,40,164,12,28,0.931818,0.854167,0.891304
80,65,68,0,124,1.000000,0.354167,0.523077
90,20,148,4,44,0.973684,0.770833,0.860465
80,70,74,0,118,1.000000,0.385417,0.556391
85,50,120,2,72,0.983607,0.625000,0.764331
90,25,192,78,0,0.711111,1.000000,0.831169
85,55,106,0,86,1.000000,0.552083,0.711409
90,30,190,37,2,0.837004,0.989583,0.906921
85,60,80,0,112,1.000000,0.416667,0.588235
90,35,188,14,4,0.930693,0.979167,0.954315
85,65,70,0,122,1.000000,0.364583,0.534351
90,40,164,12,28,0.931818,0.854167,0.891304
95,20,192,158,0,0.548571,1.000000,0.708487
85,70,74,0,118,1.000000,0.385417,0.556391
90,45,152,4,40,0.974359,0.791667,0.873563
90,50,120,2,72,0.983607,0.625000,0.764331
95,25,192,78,0,0.711111,1.000000,0.831169
90,55,106,0,86,1.000000,0.552083,0.711409
95,30,190,41,2,0.822511,0.989583,0.898345
95,35,188,14,4,0.930693,0.979167,0.954315
90,60,80,0,112,1.000000,0.416667,0.588235
90,65,70,0,122,1.000000,0.364583,0.534351
95,40,168,12,24,0.933333,0.875000,0.903226
100,20,192,163,0,0.540845,1.000000,0.702011
90,70,74,0,118,1.000000,0.385417,0.556391
95,45,152,6,40,0.962025,0.791667,0.868571
95,50,124,2,68,0.984127,0.645833,0.779874
100,25,192,81,0,0.703297,1.000000,0.825806
100,30,190,41,2,0.822511,0.989583,0.898345
95,55,106,0,86,1.000000,0.552083,0.711409
100,35,188,16,4,0.921569,0.979167,0.949495
95,60,80,0,112,1.000000,0.416667,0.588235
95,65,74,0,118,1.000000,0.385417,0.556391
100,40,168,12,24,0.933333,0.875000,0.903226
105,20,192,168,0,0.533333,1.000000,0.695652
95,70,74,0,118,1.000000,0.385417,0.556391
100,45,156,8,36,0.951220,0.812500,0.876404
100,50,130,2,62,0.984848,0.677083,0.802469
105,25,192,90,0,0.680851,1.000000,0.810127
105,30,190,44,2,0.811966,0.989583,0.892019
100,55,106,0,86,1.000000,0.552083,0.711409
105,35,190,16,2,0.922330,0.989583,0.954774
100,60,80,0,112,1.000000,0.416667,0.588235
105,40,174,12,18,0.935484,0.906250,0.920635
100,65,74,0,118,1.000000,0.385417,0.556391
110,20,192,175,0,0.523161,1.000000,0.686941
105,45,158,8,34,0.951807,0.822917,0.882682
100,70,74,0,118,1.000000,0.385417,0.556391
105,50,134,2,58,0.985294,0.697917,0.817073
110,25,192,92,0,0.676056,1.000000,0.806723
105,55,108,0,84,1.000000,0.562500,0.720000
110,30,190,44,2,0.811966,0.989583,0.892019
110,35,190,16,2,0.922330,0.989583,0.954774
105,60,82,0,110,1.000000,0.427083,0.598540
105,65,76,0,116,1.000000,0.395833,0.567164
110,40,174,14,18,0.925532,0.906250,0.915789
115,20,192,179,0,0.517520,1.000000,0.682060
110,45,158,8,34,0.951807,0.822917,0.882682
105,70,74,0,118,1.000000,0.385417,0.556391
110,50,134,2,58,0.985294,0.697917,0.817073
115,25,192,94,0,0.671329,1.000000,0.803347
110,55,114,0,78,1.000000,0.593750,0.745098
115,30,190,46,2,0.805085,0.989583,0.887850
110,60,84,0,108,1.000000,0.437500,0.608696
115,35,190,18,2,0.913462,0.989583,0.950000
115,40,180,14,12,0.927835,0.937500,0.932642
110,65,76,0,116,1.000000,0.395833,0.567164
120,20,192,183,0,0.512000,1.000000,0.677249
110,70,74,0,118,1.000000,0.385417,0.556391
115,45,160,8,32,0.952381,0.833333,0.888889
115,50,136,2,56,0.985507,0.708333,0.824242
120,25,192,94,0,0.671329,1.000000,0.803347
115,55,118,0,74,1.000000,0.614583,0.761290
120,30,192,46,0,0.806723,1.000000,0.893023
115,60,84,0,108,1.000000,0.437500,0.608696
120,35,190,20,2,0.904762,0.989583,0.945274
120,40,180,14,12,0.927835,0.937500,0.932642
115,65,76,0,116,1.000000,0.395833,0.567164
125,20,192,185,0,0.509284,1.000000,0.674868
115,70,76,0,116,1.000000,0.395833,0.567164
120,45,162,8,30,0.952941,0.843750,0.895028
120,50,138,2,54,0.985714,0.718750,0.831325
125,25,192,101,0,0.655290,1.000000,0.791753
120,55,120,0,72,1.000000,0.625000,0.769231
125,30,192,46,0,0.806723,1.000000,0.893023
125,35,192,20,0,0.905660,1.000000,0.950495
120,60,84,0,108,1.000000,0.437500,0.608696
125,40,182,14,10,0.928571,0.947917,0.938144
120,65,76,0,116,1.000000,0.395833,0.567164
130,20,192,187,0,0.506596,1.000000,0.672504
125,45,164,8,28,0.953488,0.854167,0.901099
120,70,76,0,116,1.000000,0.395833,0.567164
125,50,138,2,54,0.985714,0.718750,0.831325
130,25,192,101,0,0.655290,1.000000,0.791753
125,55,120,0,72,1.000000,0.625000,0.769231
130,30,192,46,0,0.806723,1.000000,0.893023
130,35,192,20,0,0.905660,1.000000,0.950495
125,60,84,0,108,1.000000,0.437500,0.608696
130,40,186,14,6,0.930000,0.968750,0.948980
125,65,76,0,116,1.000000,0.395833,0.567164
135,20,192,188,0,0.505263,1.000000,0.671329
130,45,172,8,20,0.955556,0.895833,0.924731
125,70,76,0,116,1.000000,0.395833,0.567164
130,50,142,2,50,0.986111,0.739583,0.845238
135,25,192,106,0,0.644295,1.000000,0.783673
130,55,122,0,70,1.000000,0.635417,0.777070
135,30,192,48,0,0.800000,1.000000,0.888889
135,35,192,22,0,0.897196,1.000000,0.945813
130,60,88,0,104,1.000000,0.458333,0.628571
135,40,186,14,6,0.930000,0.968750,0.948980
130,65,76,0,116,1.000000,0.395833,0.567164
140,20,192,188,0,0.505263,1.000000,0.671329
130,70,172,8,20,0.955556,0.895833,0.924731
135,50,144,2,48,0.986301,0.750000,0.852071
140,25,192,108,0,0.640000,1.000000,0.780488
135,55,122,0,70,1.000000,0.635417,0.777070
140,30,192,50,0,0.793388,1.000000,0.884793
140,35,192,22,0,0.897196,1.000000,0.945813
135,60,88,0,104,1.000000,0.458333,0.628571
140,40,186,14,6,0.930000,0.968750,0.948980
135,65,76,0,116,1.000000,0.395833,0.567164
145,20,192,193,0,0.498701,1.000000,0.665511
140,45,172,8,20,0.955556,0.895833,0.924731
