Will save to ./centers16.csv
2014-05-09 18:28:44.954522
Data loaded
Initialization complete
Iteration  0, inertia 76150708.509
Iteration  1, inertia 74171710.429
Iteration  2, inertia 74108416.724
Iteration  3, inertia 74065688.864
Iteration  4, inertia 74038535.073
Iteration  5, inertia 74021049.263
Iteration  6, inertia 74009632.768
Iteration  7, inertia 74001550.499
Iteration  8, inertia 73994421.202
Iteration  9, inertia 73988008.704
Iteration 10, inertia 73982390.282
Iteration 11, inertia 73977931.820
Iteration 12, inertia 73974396.800
Iteration 13, inertia 73971627.860
Iteration 14, inertia 73969485.714
Iteration 15, inertia 73967821.490
Iteration 16, inertia 73966392.110
Iteration 17, inertia 73965162.706
Iteration 18, inertia 73964072.284
Iteration 19, inertia 73963062.118
Iteration 20, inertia 73962166.853
Iteration 21, inertia 73961256.021
Iteration 22, inertia 73960387.832
Iteration 23, inertia 73959558.956
Iteration 24, inertia 73958702.846
Iteration 25, inertia 73957891.702
Iteration 26, inertia 73957084.562
Iteration 27, inertia 73956317.834
Iteration 28, inertia 73955519.873
Iteration 29, inertia 73954796.321
Iteration 30, inertia 73954150.603
Iteration 31, inertia 73953528.657
Iteration 32, inertia 73952935.214
Iteration 33, inertia 73952388.430
Iteration 34, inertia 73951821.302
Iteration 35, inertia 73951233.509
Iteration 36, inertia 73950698.993
Iteration 37, inertia 73950201.496
Iteration 38, inertia 73949652.437
Iteration 39, inertia 73949048.822
Iteration 40, inertia 73948405.225
Iteration 41, inertia 73947662.017
Iteration 42, inertia 73946764.280
Iteration 43, inertia 73945690.536
Iteration 44, inertia 73944457.365
Iteration 45, inertia 73943106.712
Iteration 46, inertia 73941868.343
Iteration 47, inertia 73940729.004
Iteration 48, inertia 73939806.222
Iteration 49, inertia 73939089.794
Iteration 50, inertia 73938544.174
Iteration 51, inertia 73938051.298
Iteration 52, inertia 73937678.598
Iteration 53, inertia 73937349.117
Iteration 54, inertia 73937046.258
Iteration 55, inertia 73936792.897
Iteration 56, inertia 73936552.852
Iteration 57, inertia 73936314.479
Iteration 58, inertia 73936104.623
Iteration 59, inertia 73935912.828
Iteration 60, inertia 73935703.519
Iteration 61, inertia 73935479.849
Iteration 62, inertia 73935250.743
Iteration 63, inertia 73935056.469
Iteration 64, inertia 73934867.970
Iteration 65, inertia 73934668.106
Iteration 66, inertia 73934469.179
Iteration 67, inertia 73934267.743
Iteration 68, inertia 73934070.475
Iteration 69, inertia 73933859.092
Iteration 70, inertia 73933642.941
Iteration 71, inertia 73933436.850
Iteration 72, inertia 73933213.267
Iteration 73, inertia 73932996.491
Iteration 74, inertia 73932765.064
Iteration 75, inertia 73932538.455
Iteration 76, inertia 73932317.839
Iteration 77, inertia 73932065.819
Iteration 78, inertia 73931808.190
Iteration 79, inertia 73931541.986
Iteration 80, inertia 73931302.345
Iteration 81, inertia 73931060.615
Iteration 82, inertia 73930841.640
Iteration 83, inertia 73930630.472
Iteration 84, inertia 73930456.504
Iteration 85, inertia 73930315.235
Iteration 86, inertia 73930194.669
Iteration 87, inertia 73930070.177
Iteration 88, inertia 73929946.942
Iteration 89, inertia 73929843.299
Iteration 90, inertia 73929738.819
Iteration 91, inertia 73929648.906
Iteration 92, inertia 73929563.617
Iteration 93, inertia 73929480.839
Iteration 94, inertia 73929411.678
Iteration 95, inertia 73929345.038
Iteration 96, inertia 73929283.054
Iteration 97, inertia 73929213.035
Iteration 98, inertia 73929148.086
Iteration 99, inertia 73929083.798
Iteration 100, inertia 73929019.762
Iteration 101, inertia 73928958.155
Iteration 102, inertia 73928901.966
Iteration 103, inertia 73928848.205
Iteration 104, inertia 73928795.788
Iteration 105, inertia 73928746.353
Iteration 106, inertia 73928705.147
Iteration 107, inertia 73928664.135
Iteration 108, inertia 73928625.399
Iteration 109, inertia 73928582.400
Iteration 110, inertia 73928534.434
Iteration 111, inertia 73928486.065
Iteration 112, inertia 73928440.013
Iteration 113, inertia 73928395.399
